variable,measure,country,year,value,flag codes,flags
Total population at birth,Years,Germany,2016,81.1,,
Total population at birth,Years,Germany,2017,81.1,,
Total population at birth,Years,Germany,2018,81,,
Total population at birth,Years,Germany,2019,81.4,,
Total population at birth,Years,Germany,2020,81.1,P,Provisional value
Total population at birth,Years,Greece,1961,72,,
Total population at birth,Years,Greece,1962,71.7,,
Total population at birth,Years,Greece,1963,72,,
Total population at birth,Years,Greece,1964,71.9,,
Total population at birth,Years,Greece,1965,72.4,,
Total population at birth,Years,Greece,1966,72.6,,
Total population at birth,Years,Greece,1967,72.3,,
Total population at birth,Years,Greece,1968,72.4,,
Total population at birth,Years,Greece,1969,73,,
Total population at birth,Years,Greece,1970,73.8,,
Total population at birth,Years,Greece,1971,74.2,,
Total population at birth,Years,Greece,1972,73.8,,
Total population at birth,Years,Greece,1973,74.1,,
Total population at birth,Years,Greece,1974,74.6,,
Total population at birth,Years,Greece,1975,74.5,,
Total population at birth,Years,Greece,1976,74.5,,
Total population at birth,Years,Greece,1977,74.7,,
Total population at birth,Years,Greece,1978,75.2,,
Total population at birth,Years,Greece,1979,75.5,,
Total population at birth,Years,Greece,1980,75.3,,
Total population at birth,Years,Greece,1981,75.7,,
Total population at birth,Years,Greece,1982,75.9,,
Total population at birth,Years,Greece,1983,75.7,,
Total population at birth,Years,Greece,1984,76.2,,
Total population at birth,Years,Greece,1985,76,,
Total population at birth,Years,Greece,1986,76.5,,
Total population at birth,Years,Greece,1987,76.3,,
Total population at birth,Years,Greece,1988,76.8,,
Total population at birth,Years,Greece,1989,77,,
Total population at birth,Years,Greece,1990,77.1,,
Total population at birth,Years,Greece,1991,77.3,,
Total population at birth,Years,Greece,1992,77.2,,
Total population at birth,Years,Greece,1993,77.6,,
Total population at birth,Years,Greece,1994,77.8,,
Total population at birth,Years,Greece,1995,77.8,,
Total population at birth,Years,Greece,1996,78,,
Total population at birth,Years,Greece,1997,78.4,,
Total population at birth,Years,Greece,1998,78.4,,
Total population at birth,Years,Greece,1999,78.5,,
Total population at birth,Years,Greece,2000,78.6,,
Total population at birth,Years,Greece,2001,79.1,,
Total population at birth,Years,Greece,2002,79.2,,
Total population at birth,Years,Greece,2003,79.3,,
Total population at birth,Years,Greece,2004,79.4,,
Total population at birth,Years,Greece,2005,79.7,,
Total population at birth,Years,Greece,2006,79.9,,
Total population at birth,Years,Greece,2007,79.7,,
Total population at birth,Years,Greece,2008,80.3,,
Total population at birth,Years,Greece,2009,80.4,,
Total population at birth,Years,Greece,2010,80.7,,
Total population at birth,Years,Greece,2011,80.8,,
Total population at birth,Years,Greece,2012,80.7,,
Total population at birth,Years,Greece,2013,81.4,,
Total population at birth,Years,Greece,2014,81.5,,
Total population at birth,Years,Greece,2015,81.1,,
Total population at birth,Years,Greece,2016,81.5,,
Total population at birth,Years,Greece,2017,81.4,,
Total population at birth,Years,Greece,2018,81.9,,
Total population at birth,Years,Greece,2019,81.7,,
Total population at birth,Years,Greece,2020,81.2,,
Total population at birth,Years,Hungary,1960,68.1,,
Total population at birth,Years,Hungary,1961,69,,
Total population at birth,Years,Hungary,1962,67.9,,
Total population at birth,Years,Hungary,1963,69,,
Total population at birth,Years,Hungary,1964,69.5,,
Total population at birth,Years,Hungary,1965,69.1,,
Total population at birth,Years,Hungary,1966,69.9,,
Total population at birth,Years,Hungary,1967,69.5,,
Total population at birth,Years,Hungary,1968,69.3,,
Total population at birth,Years,Hungary,1969,69.4,,
Total population at birth,Years,Hungary,1970,69.2,,
Total population at birth,Years,Hungary,1971,69.1,,
Total population at birth,Years,Hungary,1972,69.8,,
Total population at birth,Years,Hungary,1973,69.6,,
Total population at birth,Years,Hungary,1974,69.3,,
Total population at birth,Years,Hungary,1975,69.4,,
Total population at birth,Years,Hungary,1976,69.7,,
Total population at birth,Years,Hungary,1977,70,,
Total population at birth,Years,Hungary,1978,69.5,,
Total population at birth,Years,Hungary,1979,69.7,,
Total population at birth,Years,Hungary,1980,69.2,,
